year,counterfactual,igcc,lasp_adjusted
1938,0.072716596,0.072716596,0.106018594
1939,0.062298183,0.062298183,0.095255975
1940,0.05939626,0.05939626,0.080152209
1941,0.039991591,0.039991591,0.061944184
1942,0.024234164,0.024234164,0.046934651
1943,0.005791151,0.005791151,0.021038326
1944,-0.012855396,-0.012855396,-0.001424199
1945,-0.00760081,-0.00760081,-0.002831384
1946,0.027684672,0.027684672,0.034592725
1947,0.044758679,0.044758679,0.073853336
1948,0.090184252,0.090184252,0.10589299
1949,0.105744011,0.105744011,0.120703063
1950,0.090747839,0.090747839,0.102941885
1951,0.057158453,0.057158453,0.066752401
1952,0.012638911,0.012638911,0.040210461
1953,0.010661935,0.010661935,0.017856264
1954,-0.002371802,-0.002371802,0.002590519
1955,-0.002214728,-0.002214728,-0.006404548
1956,0.025055738,0.025055738,0.013218868
1957,0.085120676,0.085120676,0.080355729
1958,0.140971596,0.140971596,0.137352377
1959,0.148348622,0.148348622,0.133737861
1960,0.116747134,0.116747134,0.095686854
1961,0.095109484,0.095109484,0.075872974
1962,0.047058505,0.047058505,0.027527652
1963,0.013677183,0.013677183,0.004527425
1964,0.002084495,0.002084495,-0.002895331
1965,-0.003225144,-0.003225144,-0.005396178
1966,-0.000255593,-0.000255593,-0.001165285
1967,0.025326675,0.025326675,0.023004714
1968,0.057061643,0.057061643,0.049205245
1969,0.073798401,0.073798401,0.055842114
1970,0.076757746,0.076757746,0.063895036
1971,0.078687518,0.078687518,0.062460447
1972,0.050055185,0.050055185,0.026213592
1973,0.048265187,0.048265187,0.035889132
1974,0.019473292,0.019473292,0.007593017
1975,0.005395537,0.005395537,-0.002105543
1976,0.005675237,0.005675237,-0.00985309
1977,0.001041957,0.001041957,-0.012921573
1978,0.03112505,0.03112505,0.008197348
1979,0.077248973,0.077248973,0.054993359
1980,0.115961036,0.115961036,0.099838095
1981,0.108322711,0.108322711,0.102589091
1982,0.11087221,0.11087221,0.108638159
1983,0.067596484,0.067596484,0.053201798
1984,0.065785705,0.065785705,0.053732452
1985,0.014804317,0.014804317,0.002611781
1986,-0.002380265,-0.002380265,-0.015699052
1987,-0.000259183,-0.000259183,-0.015399782
1988,0.010584463,0.010584463,0.000936341
1989,0.055609312,0.055609312,0.038900783
1990,0.117371927,0.117371927,0.100030819
1991,0.105951871,0.105951871,0.089859919
1992,0.104195202,0.104195202,0.076143088
1993,0.083534446,0.083534446,0.058792354
1994,0.034701259,0.034701259,0.024574149
1995,0.005129601,0.005129601,-0.002520196
1996,-0.000487593,-0.000487593,-0.013379585
1997,-0.012655272,-0.012655272,-0.023393436
1998,0.003701228,0.003701228,-0.008693127
1999,0.05061655,0.05061655,0.033704112
2000,0.085073072,0.085073072,0.066735024
2001,0.110136855,0.110136855,0.100800199
2002,0.099598671,0.099598671,0.079173254
2003,0.104868677,0.104868677,0.092297186
2004,0.043571881,0.043571881,0.029594428
2005,0.016789555,0.016789555,0.001272649
2006,-0.009682365,-0.009682365,-0.025464447
2007,-0.015652004,-0.015652004,-0.02958134
2008,-0.0271628,-0.0271628,-0.038796996
2009,-0.029668862,-0.029668862,-0.035922126
2010,-0.029721937,-0.029721937,-0.03704602
2011,-0.007547777,-0.007547777,-0.018989824
2012,0.026778812,0.026778812,0.013131065
2013,0.041142496,0.041142496,0.032435656
2014,0.049433641,0.049433641,0.03700851
2015,0.059315907,0.059315907,0.045223246
2016,0.02942091,0.02942091,0.051915805
2017,-0.007377415,-0.007377415,-0.006038838
2018,-0.01725677,-0.01725677,-0.027484835
2019,-0.021257743,-0.021257743,-0.032631615
2020,-0.021963061,-0.021963061,-0.035331137
2021,-0.016758823,-0.016758823,-0.029713301
2022,0,0.019767054,-0.012314368
2023,0,0.059602872,0.038201724
2024,0,0.082191409,0.085599238
2025,0,0.091047066,0.091047066
